Title,Description,Content Type,Genres
Muramba,A young man and his parents ponder the reasons behind the recent breakdown of a relationship he was in â and the possibility of reconciliation.,Movie,"Comedies, Dramas, International Movies"
Muran,"When jingle composer Nanda's car breaks down on his way to Chennai, he hitchhikes there with Arjun, who tries to rope Nanda into a shady deal.",Movie,"Action & Adventure, International Movies"
Murder Among the Mormons,High-stakes exploits turn deadly â and shake a global church to its core â in this extraordinary true crime story.,TV Show,"Crime TV Shows, Docuseries"
Murder by the Coast,"In 1999, teen RocÃ­o Wanninkhof is murdered. Her mother's ex-partner, Dolores VÃ¡zquez, is suspected. Did she do it? A second victim reveals the truth.",Movie,"Documentaries, International Movies"
Murder Maps,Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,TV Show,"British TV Shows, Crime TV Shows, Docuseries"
Murder Mountain,"In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",TV Show,"Crime TV Shows, Docuseries"
Murder Mystery,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",Movie,Comedies
Murder to Mercy The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",Movie,Documentaries
Murphys Law of Love,An online matchmaker who's convinced she's living under a curse finds her theories on life and love tested when she meets a shrewd divorce expert.,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies"
Music Teacher,A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.,Movie,"Dramas, Independent Movies, International Movies"
Must Be Love,"When a teenage girl develops romantic feelings for her childhood best friend, she finds herself changing her ways to win him over.",Movie,"Comedies, Dramas, International Movies"
Mustang Island,"After being dumped on New Year's Eve, Bill pursues his ex-girlfriend to an off-season Gulf Coast beach town, but things get complicated along the way.",Movie,"Comedies, Dramas, Independent Movies"
Mute,"When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words.",Movie,"Sci-Fi & Fantasy, Thrillers"
Mutiny of the Worker Bees,"When Omar's grandfather forces him to get a job at a tech company in Mexico City, he meets a quirky ensemble of nine-to-fivers ... and some nemeses.",Movie,"Comedies, International Movies"
Muzaffarnagar Baaqi Hai,"Through interviews with locals, this documentary investigates the triggers and outcomes of the 2013 communal riots in the heart of Uttar Pradesh.",Movie,"Documentaries, International Movies"
My Amanda,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.",Movie,"Dramas, International Movies, Romantic Movies"
My Amnesia Girl,"Years after leaving his bride-to-be at the altar, a man crosses paths with his ex and tries to make up for the past, only to find he's been forgotten.",Movie,"International Movies, Romantic Movies"
My Babysitters a Vampire,"Ethan, Benny and fledgling vampire Sarah battle zombies, demons and the other supernatural beasties that regularly threaten their school.",TV Show,"Kids' TV, TV Comedies"
My Beautiful Broken Brain,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write.",Movie,"Documentaries, International Movies"
My Best Friends Wedding,Food critic Julianne does her sneaky best to sabotage her pal Michael's wedding to rich college student Kimmy after realizing she wants him for herself.,Movie,"Comedies, Romantic Movies"
My Big Night,An unemployed man gets a job as an extra at the shooting of a New Year's Eve TV special that's beset by crises and seems to go on forever.,Movie,"Comedies, International Movies, Music & Musicals"
My Birthday Song,"After a wild night of impulse and infidelity, advertising executive Rajiv Kaul must navigate the blurred lines between life, death, fact and fiction.",Movie,"Dramas, International Movies, Thrillers"
My Country The New Age,"At the end of the Goryeo period, there were those who led the charge to proclaim a new age â and the ordinary individuals who risked everything.",TV Show,"International TV Shows, Korean TV Shows, TV Action & Adventure"
My Dead Ex,High school teens Charley and Ben find themselves in a complicated romance when Ben dies in a tragic accident but is resurrected by a magical spell.,TV Show,"TV Comedies, Teen TV Shows"
My Dear Boy,"Heartbroken and romantically pessimistic, a commercial director meets a young artist and teaches him life-changing lessons about love.",TV Show,"International TV Shows, Romantic TV Shows"
My Dear Warrior,"Love leaps off the page when an astronomer magically meets her comic book hero in the flesh, but learns that his fictional problems are very real.",TV Show,"International TV Shows, Romantic TV Shows, TV Comedies"
My Ex  Whys,"Popular blogger Cali is hired for a marketing campaign alongside another viral sensation: her ex-boyfriend Gio, who's intent on winning her back.",Movie,"Comedies, Dramas, International Movies"
My Fair Lady,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.",Movie,"Classic Movies, Music & Musicals"
My First First Love,"Due to various personal reasons, a group of Yun Tae-oâs friends move into his house, where they experience love, friendship, and everything in between.",TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Friend Pinto,A bright-eyed villager comes face-to-face with the gritty realities of modern-day Mumbai when he sets out to find his childhood friend.,Movie,"Comedies, International Movies, Sci-Fi & Fantasy"
My Fuhrer,Germany's most celebrated actor is commissioned by Nazi propagandist Joseph Goebbels to prepare the leader of the Third Reich to deliver a speech.,Movie,"Comedies, International Movies"
My Happy Family,"A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself.",Movie,"Dramas, Independent Movies, International Movies"
My Holo Love,Unexpected love finds a lonely woman when she forms a connection with a humanlike hologram who looks exactly like his prickly creator.,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Horrible Grandma,"As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.",Movie,"Comedies, Dramas, International Movies"
My Hotter Half,"Couples compete to see who can take the sexiest selfie, with the loser getting a much-needed makeover.",TV Show,"British TV Shows, International TV Shows, Reality TV"
My Husband Wont Fit,"Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship.",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
My Little Baby,A top detective in the violent crimes unit becomes the sole guardian of his 6-month-old niece when his sister and her husband pass away unexpectedly.,TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows"
My Little Pony Equestria Girls Forgotten Friendship,School yearbook editor Sunset Shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.,Movie,Children & Family Movies
My Little Pony Equestria Girls Legend of Everfree,"The Equestria Girls, human teen counterparts to My Little Pony characters, head to Camp Everfree, where they need a little magic to help save summer.",Movie,"Children & Family Movies, Comedies"
My Little Pony Equestria Girls Rollercoaster of Friendship,"Rarity gets a summer job at Equestria Land, making Applejack feel jealous. But when their friends start vanishing, they must work together to find them.",Movie,Children & Family Movies
My Little Pony Friendship Is Magic Best Gift Ever,"The ponies get in the spirit of the holidays by drawing names for a gift exchange, then race around Equestria in search of the perfect presents.",Movie,Children & Family Movies
My Little Pony Friendship Is Magic,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",TV Show,Kids' TV
My Love Six Stories of True Love,Six longtime couples in different parts of the world share their decades-long love in these tender portraits filmed over the course of one year.,TV Show,Docuseries
My Mister,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows"
My Mothers Wound,"After leaving the orphanage where he was raised, a teen searches for his family only to find work at a farm, where secrets of the past begin to surface.",Movie,"Dramas, International Movies"
My MVP Valentine,"An unfortunate accident alters the life of a high school basketball prodigy, who abandons his beloved sport and becomes entangled in a love triangle.",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
My Next Guest Needs No Introduction With David Letterman,TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.,TV Show,Stand-Up Comedy & Talk Shows
My Next Guest with David Letterman and Shah Rukh Khan,"""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York.",Movie,International Movies
My Octopus Teacher,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",Movie,"Children & Family Movies, Documentaries, International Movies"
My Only Love Song,"When things don't go her way during a shooting for her new show, a top actress runs away in an old van that guides her on a time-traveling journey.",TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Own Man,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.",Movie,Documentaries
My Perfect Landing,Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.,TV Show,Kids' TV
My Perfect Romance,"Just in time for Valentine's Day, a program developer pitches a revolutionary dating algorithm to her new CEO, who volunteers them as guinea pigs.",Movie,"Comedies, International Movies, Romantic Movies"
My Pride,"After their mother's death, Amal and her brothers struggle to live with their authoritarian father, whose cruelty and neglect break the family apart.",TV Show,"International TV Shows, TV Dramas"
My Runway,An egotistic top male model and a pretty model wannabe are forced to live each other's lives until they figure out a way to undo their body switch.,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Sassy Girl,A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Schoolmate the Barbarian,"A brainy private school student is transferred to a far less elite institution, where he must fend off classmates who settle scores with fistfights.",Movie,"Action & Adventure, Comedies, International Movies"
My Secret Romance,A nutritionist gets entangled in a series of misunderstandings with her new chaebol boss â who turns out to be someone she slept with in the past.,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Shy Boss,The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
My Sleeping Lover,"After undergoing hypnosis, Ramez finally meets the woman of his dreams â but his vision of her appearance doesn't quite match up with reality.",Movie,"Comedies, International Movies"
My Step Dad The Hippie,"When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married.",Movie,"Comedies, International Movies"
My Stupid Boss,"After moving to Kuala Lumpur, Diana lands a secretary job at an ironworks owned by her husband's old college friend, possibly the world's worst boss.",Movie,"Comedies, International Movies"
My Stupid Boss 2,"Having driven away many of his employees, Bossman and three of his long-suffering workers try to find cheap labor in Vietnam but find trouble instead.",Movie,"Comedies, International Movies"
My Suicide,"After declaring that he's going to film himself committing suicide for a school project, Archie videotapes reactions from friends and family.",Movie,"Comedies, Dramas, Independent Movies"
My Teacher My Obsession,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.",Movie,Thrillers
My Travel Buddy,"Days before Eid, a salesman fired from his job drives to AyvalÄ±k to meet his girlfriend's family, but the trip goes astray due to his zany travel buddy.",Movie,"Comedies, International Movies"
My Unorthodox Life,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series.",TV Show,Reality TV
My Way,"Former Italian prime minister Silvio Berlusconi opens up about his life, including his sex scandals, corruption trials, and friendship with Putin.",Movie,"Documentaries, International Movies"
My Way,"In the 1970s, an aspiring singer struggles to prove herself in the face of challenges posed by her strict upbringing and romantic choices.",TV Show,"International TV Shows, TV Dramas"
My Wife and I,"When a couple leaning toward divorce meets with a pastor for counseling, an unexpected development shakes up their marriage.",Movie,"Comedies, International Movies, Romantic Movies"
Myriam Fares The Journey,"From pregnancy to album preparations, Lebanese singer and âQueen of the Stageâ Myriam Fares documents her experiences with her family while in lockdown.",Movie,"Documentaries, International Movies, Music & Musicals"
Mystery Lab,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.",TV Show,"Docuseries, International TV Shows, Science & Nature TV"
Mystery Science Theater 3000 The Return,"The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.",TV Show,"TV Comedies, TV Sci-Fi & Fantasy"
Mystic Pizza,"In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor.",Movie,"Comedies, Dramas, Independent Movies"
Mystic Popup Bar,A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.,TV Show,"International TV Shows, Korean TV Shows, TV Comedies"
Mystic River,"Haunted by a monstrous crime, three childhood friends in Boston cross paths again decades later in connection with a murder investigation.",Movie,"Dramas, Thrillers"
Mystic Whispers,"After a car accident enables a young woman to hear mysterious sounds, she meets a mortician. Together, they listen to ghosts and try to help them.",TV Show,"International TV Shows, TV Dramas, TV Horror"
Mythily Veendum Varunnu,"After losing her father, a young woman moves to the city to earn money. When she finds a job at a mysterious bungalow, her worst nightmares come true.",Movie,"Horror Movies, International Movies"
Mythomaniac,"Burned out and taken for granted, a working mom suspects her partner is cheating, so to win back his attentions, she feigns a medical diagnosis.",TV Show,"International TV Shows, TV Comedies, TV Dramas"
Myths  Monsters,This documentary series takes us to the mythic landscapes of Europe to explore some of most enduring legends produced by European culture.,TV Show,"British TV Shows, Docuseries"
Naa Bangaaru Talli,"A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking.",Movie,"Dramas, International Movies"
Naam Shabana,"A fiery young woman accepts help from a spy agency to avenge her lover's murder. In return, she must prove herself as one of their top recruits.",Movie,"Action & Adventure, International Movies"
Naan Sigappu Manithan,"After his sleeping disorder hinders him from protecting his girlfriend, a man sets out to take revenge on the thugs who attacked her.",Movie,"Action & Adventure, Dramas, International Movies"
Nacho Libre,"When Ignacio learns of an orphanage's financial woes, he pitches in to help â by disguising himself and joining the professional wrestling circuit.",Movie,"Comedies, Sports Movies"
Nadiya Bakes,"Delightful cakes and heavenly breads pop from the oven as Nadiya Hussain returns to baking, her happy place, and spotlights creative kindred spirits.",TV Show,"British TV Shows, International TV Shows, Reality TV"
Nadiyas Time to Eat,"On this cooking show, Nadiya Hussain serves up delicious shortcuts, vital ingredients and fast favorites â perfect for today's time-strapped families.",TV Show,"British TV Shows, International TV Shows, Reality TV"
NagiAsu A Lull in the Sea,"In a world where humans are divided between the land and the sea, four childhood friends from the ocean must attend middle school on the surface.",TV Show,"Anime Series, Romantic TV Shows, Teen TV Shows"
Nail Bomber Manhunt,"This documentary examines the 1999 London bombings that targeted Black, Bangladeshi and gay communities, and the race to find the far-right perpetrator.",Movie,"Documentaries, International Movies"
Nailed It,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",TV Show,Reality TV
Nailed It France,"On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",TV Show,"International TV Shows, Reality TV"
Nailed It Germany,"Home cooks try â and inevitably fail â to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.",TV Show,"International TV Shows, Reality TV"
Nailed It Holiday,"It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",TV Show,Reality TV
Nailed It Mexico,"The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows"
Nailed It Spain,"On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows"
Naked,"Rob's madly in love and about to be married. Unfortunately, he's also naked, stuck in an elevator and caught in a time loop.",Movie,"Comedies, Romantic Movies"
Namaste Wahala,An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.,Movie,"Comedies, Dramas, International Movies"
Namastey London,"To her Indian parents' dismay, London-born Jasmeet ""Jazz"" Malhotra longs for everything Western, including her British boyfriend. On a family trip to India, her father arranges Jazz's nuptials to Arjun Ballu Singh, who's smitten with his new bride.",Movie,"Comedies, Dramas, International Movies"
Nang Nak,"In this adaptation of a Thai folk tale, a man returns from war to his family, unaware of a sad secret about what happened to them while he was away.",Movie,"Horror Movies, International Movies, Romantic Movies"
Naomi and Elys No Kiss List,"Naomi and her gay best friend, Ely, have been inseparable since childhood, but their bond faces its biggest test yet when they fall for the same guy.",Movie,"Comedies, Dramas, LGBTQ Movies"
Naomi Osaka,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.,TV Show,Docuseries
Nappily Ever After,"When a perfectionist ad exec experiences a romantic setback, she embarks on a journey of self-discovery that begins with a dramatic hair makeover.",Movie,"Comedies, Dramas, Romantic Movies"
Narcos,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,TV Show,"Crime TV Shows, TV Action & Adventure, TV Dramas"
Narcos Mexico,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.",TV Show,"Crime TV Shows, TV Action & Adventure, TV Dramas"
Narcoworld Dope Stories,"Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.",TV Show,"Crime TV Shows, Docuseries"
Naruto,"Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series.",TV Show,"Anime Series, International TV Shows"
Naruto Shippuden  Blood Prison,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto Shippden the Movie Bonds,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto Shippden the Movie The Will of Fire,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto Shippuden The Movie,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto Shippuden The Movie The Lost Tower,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto the Movie 2 Legend of the Stone of Gelel,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto the Movie 3 Guardians of the Crescent Moon Kingdom,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",Movie,"Action & Adventure, Anime Features, International Movies"
Naruto the Movie Ninja Clash in the Land of Snow,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",Movie,"Action & Adventure, Anime Features, International Movies"
Nasha,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",Movie,"Dramas, International Movies, Romantic Movies"
Nasha Natasha,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.,Movie,"Documentaries, International Movies, Music & Musicals"
Natalia Valdebenito El especial,"A Chilean comedian fuses activism with irreverence for a stand-up set filled with jokes about misogyny, reproductive rights and respecting women.",Movie,Stand-Up Comedy
Natalie Palamides Nate  A One Man Show,"Tough talk takes a soft turn as Nate, played by comedian Natalie Palamides, explores humor, heartbreak, sexuality and consent â with a live audience.",Movie,Comedies
Natascha Kampusch The Whole Story,A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headline-making story of survival.,Movie,Movies
Nate Bargatze The Greatest Average American,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special.",Movie,Stand-Up Comedy
Nate Bargatze The Tennessee Kid,"Comic Nate Bargatze touches on air travel, cheap weddings, college football, chocolate milk and the perils of ordering coffee in this stand-up special.",Movie,Stand-Up Comedy
Nathicharami,"Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality.",Movie,"Dramas, Independent Movies, International Movies"
Naughty Jatts,"When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest.",Movie,"Comedies, International Movies, Music & Musicals"
Navillera,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,TV Show,"International TV Shows, TV Dramas"
Nayattu,Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.,Movie,"Dramas, International Movies, Thrillers"
NCIS,Follow the quirky agents of the NCIS â the Naval Criminal Investigative Service â as they track down terrorists and other high-profile criminals.,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries"
Ne Zha,"Bound by a divine mandate, rebellious outcast Ne Zha grapples with his formidable powers and a destiny that would imperil his loved ones.",Movie,"Action & Adventure, Comedies, International Movies"
Neal Brennan 3 Mics,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan.",Movie,Stand-Up Comedy
Nee Enge En Anbe,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests thereâs more to the mystery than meets the eye.",Movie,"International Movies, Thrillers"
Needhi Singh,"When her friendâs rapist evades punishment from the law, a determined young woman takes revenge into her own hands in this story based on real events.",Movie,"Action & Adventure, Dramas, International Movies"
Neevevaro,"When a blind chefâs girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.",Movie,"Dramas, International Movies, Romantic Movies"
Neo Yokio,"Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",TV Show,"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows"
Neon Genesis Evangelion,"Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels.",TV Show,"Anime Series, International TV Shows"
Neseli Hayat,"Burdened by troubles and caught between cultures, Riza takes a job as a mall Santa and finds that real life may not be so different from make-believe.",Movie,"Comedies, International Movies"
Netflix Presents The Characters,We asked eight up-and-coming comedians for their wildest sketch and improv routines â and got a new comedy series unlike anything else.,TV Show,TV Comedies
Nevenka Breaking the Silence,"Nevenka FernÃ¡ndez, the plaintiff in Spain's first successful lawsuit against a politician for sexual harassment, breaks her silence after 20 years.",TV Show,"Docuseries, International TV Shows, Spanish-Language TV Shows"
Never Back Down,"When a quick-tempered teen moves to a new town and faces the challenges of attending a new high school, he seeks solace in an underground fight club.",Movie,"Action & Adventure, Dramas, Sports Movies"
Never Back Down 2 The Beatdown,A group of mixed martial arts fighters stars in this action thriller that follows a quartet of brawlers as they prepare for a major underground event.,Movie,"Action & Adventure, Dramas, Sports Movies"
Never Have I Ever,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular â but friends, family and feelings wonât make it easy on her.",TV Show,"TV Comedies, TV Dramas, Teen TV Shows"
Nevertheless,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
New Girl,"Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world.",TV Show,"Romantic TV Shows, TV Comedies"
New Gods Nezha Reborn,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",Movie,"Action & Adventure, Anime Features, International Movies"
New Money,An aspiring fashion designer's life is transformed after she discovers sheâs the heiress of a billion-dollar empire left by her estranged father.,Movie,"Dramas, International Movies"
Newly Rich Newly Poor,"After learning they were switched at birth, wealthy AndrÃ©s and working-class Brayan must adjust to the families and lifestyles they were meant to have.",TV Show,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Newness,"Martin and Gabi try to form a relationship after meeting through a hookup app, but when boredom creeps in, they seek out an unconventional solution.",Movie,"Dramas, Independent Movies, Romantic Movies"
Next Enti,"Clashing views on intimacy lead a couple to go their separate ways to reflect on commitment and companionship, before suddenly crossing paths again.",Movie,"Comedies, Dramas, International Movies"
Next Gen,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",Movie,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
Next in Fashion,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",TV Show,Reality TV
Ni de coa,"Trying to fix their relationships, four couples attend a spiritual retreat at a Caribbean resort, where temptation and mishaps add problems to the mix.",Movie,"Comedies, International Movies"
Nicky Jam El Ganador,Follow reggaeton artist Nicky Jam's struggles to overcome drug addiction and rise to international success in this dramatization of his life story.,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Nicky Ricky Dicky  Dawn,"Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last.",TV Show,"Kids' TV, TV Comedies"
Nigerian Prince,"When a stubborn American teenager is sent to Nigeria by his mother, his cousin's scamming business becomes a viable option for securing a return flight.",Movie,"Dramas, Independent Movies"
Night in Paradise,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",Movie,"Dramas, International Movies"
Night of Knots,Two exes run into each other at a wedding hall and realize they still harbor romantic feelings. The one problem? They just got married to other people.,Movie,"Comedies, International Movies, Romantic Movies"
Night on Earth,"This nature seriesâ new technology lifts nightâs veil to reveal the hidden lives of the worldâs creatures, from lions on the hunt to bats on the wing.",TV Show,"Docuseries, Science & Nature TV"
Night on Earth Shot in the Dark,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage.",Movie,Movies
Night Stalker The Hunt for a Serial Killer,"Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",TV Show,"Crime TV Shows, Docuseries"
Nightcrawler,A young hustler finds success trolling the streets of Los Angeles to film disasters and death. But the darkness he captures starts to take hold of him.,Movie,"Dramas, Independent Movies, Thrillers"
Nightflyers,"With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets.",TV Show,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
Nightmare High,"After a new teacher arrives, students' dreams begin to come true. Class president Ye-rim must solve the nightmarish mystery before it's too late.",TV Show,"International TV Shows, Korean TV Shows, TV Dramas"
Nights in Rodanthe,"When a hurricane hits a coastal North Carolina inn, it sweeps an unhappily married woman into a whirlwind, second-chance romance with a taciturn doctor.",Movie,"Dramas, Romantic Movies"
Nikki Glaser Bangin,"Nikki Glaser bares all in a blistering stand-up special about sex, sobriety and getting over her own insecurities. And she won't spare you the details.",Movie,Stand-Up Comedy
Nila,"When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter.",Movie,"Dramas, International Movies, Romantic Movies"
Nimbe,A bullied teenager gravitates toward the acceptance he finds in a street gang but soon ends up involved in a world of drug abuse and organized crime.,Movie,"Dramas, International Movies"
Ninja Assassin,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.,Movie,Action & Adventure
NiNoKuni,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,Movie,"Action & Adventure, Anime Features, Children & Family Movies"
Nisman The Prosecutor the President and the Spy,"This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building.",TV Show,"Crime TV Shows, Docuseries, International TV Shows"
Niyazi Gl Drtnala,"Seeking the formula behind a magical elixir bequeathed to him by his father, a veterinary professor gets embroiled in a mobster's horse-racing scheme.",Movie,"Comedies, International Movies"
Njan Prakashan,"Yearning for a lavish life abroad, an entitled, lazy sexist crafts a scam to ditch his thankless nursing job and find a wealthy spouse to secure a visa.",Movie,"Comedies, Dramas, International Movies"
